attaque	   ***   	attack  ; onslaught  ; onset  ; onrush	abstract
attaquer	   ***   	attack  ; assail  ; assault  ; set on	verb
attendre	   ***   	expect  ; look  ; await  ; wait	verb
attendre	   ***   	wait  ; hold off  ; hold back	verb-basic
attention	   ***   	attention  ; attending	business
atterrir	   ***   	land  ; set down	verb
attitude	   ***   	attitude  ; mental attitude	abstract
attraper	   ***   	get  ; acquire	verb-basic
attraper	   ***   	trick  ; flim-flam  ; play a joke on  ; play tricks  ; fob  ; fox  ; pull a fast one on  ; play a trick on	verb
au lieu de	   ***   	instead  ; alternatively  ; or else	adverb
au-dessus de	   ***   	above  ; higher up  ; in a higher place  ; to a higher place	adverb
aucun	   ***   	no	adjective
augmentation	   ***   	increase  ; increment	abstract
augmenter	   ***   	increase	verb
auprès de	   ***   	beside	preposition
aussi	   ***   	too  ; besides  ; also  ; likewise  ; as well	adverb
autobus	   ***   	bus  ; autobus  ; coach  ; charabanc  ; double-decker  ; jitney  ; motorbus  ; motorcoach  ; omnibus  ; passenger vehicle	transport
automatique	   ***   	automatic	adjective
automne	   ***   	autumn  ; fall	time
automobile	   ***   	car  ; auto  ; automobile  ; machine  ; motorcar	transport
autorité	   ***   	authority  ; authorization  ; authorisation  ; potency  ; dominance  ; say-so	business
autour	   ***   	about  ; around	adverb
autre	   ***   	other	adjective
avant	   ***   	before  ; earlier	adverb
avant	   ***   	forward  ; forwards  ; frontward  ; frontwards  ; forrad  ; forrard	adverb
avantage	   ***   	advantage  ; vantage	business
avec	   ***   	with	preposition
avec	   ***   	with	preposition
avion	   ***   	plane  ; airplane  ; aeroplane	transport
avisé	   ***   	sharp  ; astute  ; shrewd	adjective-people
avoir	   ***   	have  ; have got  ; hold	verb-basic
avoir besoin de	   ***   	need  ; necessitate  ; ask  ; postulate  ; require  ; take  ; involve  ; call for  ; demand	verb-basic
avril	   ***   	April  ; Apr	time
aérodrome	   ***   	airport  ; airdrome  ; aerodrome  ; drome	city
baiser	   ***   	kiss  ; buss  ; osculation	relations
baiser	   ***   	kiss  ; snog  ; buss  ; osculate	verb-basic
balle	   ***   	ball	sports
banane	   ***   	banana	fruit
banque	   ***   	bank  ; depository financial institution  ; banking concern  ; banking company	city
barbare	   ***   	cruel  ; barbarous  ; brutal  ; fell  ; roughshod  ; savage  ; vicious	adjective
bas	   ***   	down	adjective
bas	   ***   	down  ; downwards  ; downward  ; downwardly	adverb
bas	   ***   	low	adjective
base	   ***   	base  ; base of operations	society
base-ball	   ***   	baseball  ; baseball game	sports
bateau	   ***   	boat	transport
beau	   ***   	beautiful	adjective-basic
beau	   ***   	nice	adjective-basic
beaucoup	   ***   	many	adjective
beaucoup	   ***   	much	adjective
beaux-arts	   ***   	art  ; fine art	art
bec	   ***   	beak  ; bill  ; neb  ; nib  ; pecker	anatomy
besoin	   ***   	demand  ; need	business
beurre	   ***   	butter	food
bibliothèque	   ***   	library	city
bicyclette	   ***   	bike  ; bicycle  ; wheel  ; cycle	sports
bien	   ***   	well  ; good	adverb
bientôt	   ***   	soon  ; shortly  ; presently  ; before long	adverb
billet	   ***   	banknote  ; bill  ; note  ; government note  ; bank bill  ; banker's bill  ; bank note  ; Federal Reserve note  ; greenback	business
billet	   ***   	ticket	object
biologie	   ***   	biology  ; biological science	science
bizarre	   ***   	strange  ; unusual	adjective
bière	   ***   	beer	drink
blanc	   ***   	white	color
blesser	   ***   	injure  ; wound	verb
bleu	   ***   	blue  ; bluish  ; blueish	color
boire	   ***   	drink  ; imbibe	verb-basic
bois	   ***   	forest  ; wood  ; woods	nature
bois	   ***   	wood	material
boisson	   ***   	drink  ; beverage  ; drinkable  ; potable	drink
bon courage	   ***   	good luck	conversation
bon marché	   ***   	cheap  ; inexpensive	adjective
bond	   ***   	jump  ; leap  ;  saltation	abstract
bondir	   ***   	jump  ; leap  ; bound  ; spring	verb-basic
bonjour	   ***   	good day	conversation
bord	   ***   	edge  ; border	mathematics
botte	   ***   	boot	clothes
bouche	   ***   	mouth  ; oral cavity  ; oral fissure  ; rima oris	anatomy
bouger	   ***   	move  ; displace	verb-basic
bouteille	   ***   	bottle	container
bouton	   ***   	button  ; push button  ; push	tool
boîte	   ***   	box	container
boîte	   ***   	can  ; tin  ; tin can	container
branche	   ***   	branch	nature
bras	   ***   	arm	anatomy
brique	   ***   	brick	house
briser	   ***   	break	verb-basic
brosse	   ***   	brush	art
brouillard	   ***   	fog	weather
bruit	   ***   	noise  ; dissonance  ; racket	society
bureau	   ***   	desk	furniture
bureau	   ***   	office  ; business office	business
but	   ***   	goal	sports
but	   ***   	purpose  ; function  ; role  ; use	mathematics
bâtiment	   ***   	building  ; edifice	city
bâtir	   ***   	build  ; construct  ; make	verb
cadeau	   ***   	present	object
cadre	   ***   	frame	object
café	   ***   	coffee  ; java	drink
campagne	   ***   	campaign  ; cause  ; crusade  ; drive  ; movement  ; effort	abstract
caméra	   ***   	television camera  ; tv camera  ; camera	device
canne	   ***   	stick	object
capable	   ***   	able	adjective-people
capacité	   ***   	ability  ; power	abstract
capital	   ***   	capital  ; working capital	business
capitale	   ***   	capital	city
car	   ***   	for	conjunction
caractère	   ***   	character  ; grapheme  ; graphic symbol	communication
caractère	   ***   	personality	abstract
caractéristique	   ***   	feature  ; characteristic	abstract
carotte	   ***   	carrot  ; cultivated carrot  ; Daucus carota sativa	vegetable
carré	   ***   	square	adjective
carré	   ***   	square  ; foursquare	mathematics
carré	   ***   	square  ; second power	mathematics
carte	   ***   	card	object
carte	   ***   	map	geography
cassé	   ***   	broken	adjective
cause	   ***   	cause	science
ce	   ***   	that	pronoun
ce	   ***   	what	pronoun
ce soir	   ***   	tonight  ; this evening  ; this night	adverb
cellule	   ***   	cell	anatomy
cent	   ***   	hundred  ; one hundred  ; 100  ; c	number
central	   ***   	central	adjective
centre	   ***   	center  ; centre  ; midpoint	mathematics
cependant	   ***   	however  ; nevertheless  ; withal  ; still  ; yet  ; all the same  ; even so  ; nonetheless  ; notwithstanding	adverb
cercle	   ***   	circle	mathematics
cerise	   ***   	cherry	fruit
certain	   ***   	certain  ; sure	adjective
